SubsID,error.immigrants.trim,error.asylum.seekers.trim,error.trim,error.immigrants,error.asylum.seekers,error,consp_01,confidence,trust.stat,news.paper,news.social,news.tv,concern.imm,edu.tertiary,lr,age,female,abit,income,dummy.imm.as,country,QG8c_1_T4,QG8d_1_T4,QG16_1_T4,QG16_2_T4,QG16_3_T4,QG16_4_T4,country_cod,int_wt1_cap_T4
EPOK452PM4JM3N74B8,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.739025565888992,1,0,0.125,0.375,0.125,1,0,0.4,56,1,1. Metropolitan zone,0.363636363636364,1,Portugal,10,NA,3,2,1,2,8,0.375302879
EPOK3G69S7CZ2TP4B4,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.79748441976404,1,1,1,1,1,1,0,0.2,70,0,3. Rural zone,0.363636363636364,0,Portugal,NA,1,2,2,1,2,8,1.249256005
EPOK456QNKNV8484B1,NA,2.99170319485018,2.99170319485018,NA,2.99170319485018,2.99170319485018,0.479064640942758,1,1,0.25,0.125,0.25,1,0,0.4,38,1,2. Other town/urban centre,0.272727272727273,0,Portugal,NA,3,2,2,3,3,8,1.076311427
EPOL6DKCDGVMHWN4C2,2.25857312357308,NA,2.25857312357308,2.25857312357308,NA,2.25857312357308,0.671997148720841,1,1,0.5,1,1,1,0,0.2,58,0,1. Metropolitan zone,0.181818181818182,1,Portugal,5,NA,1,2,2,3,8,2.852151341
EPOK4KKJM9H3TLT4B7,-1.74142687642692,NA,-1.74142687642692,-1.74142687642692,NA,-1.74142687642692,0.734889181705149,0,1,0.125,0.125,0.875,1,1,0.3,65,0,1. Metropolitan zone,0.545454545454545,1,Portugal,1,NA,2,3,1,2,8,0.659404346
EPOK65RY6LS2WWK4B4,NA,2.99170319485018,2.99170319485018,NA,2.99170319485018,2.99170319485018,0.528537111957968,0,1,0.25,1,1,1,0,0.5,57,1,1. Metropolitan zone,NA,0,Portugal,NA,3,2,2,3,2,8,0.375302879
EPOK48NYP6DBFJP4B8,NA,24.9917031948502,24.9917031948502,NA,24.9917031948502,24.9917031948502,0.667147150044847,0,0,0,0.125,0.125,1,1,0.4,26,1,2. Other town/urban centre,0.363636363636364,0,Portugal,NA,25,3,1,2,2,8,0.629376645
EPOKD7KC4DN4V9T4B9,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.712483236876215,0,0,0.125,0.625,0.5,1,0,0.3,43,1,1. Metropolitan zone,0.090909090909091,1,Portugal,10,NA,2,2,2,1,8,0.794796927
EPOK7YV4LZ5LGDS4B5,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.600415527802114,0,1,0.125,0,1,1,0,0.4,65,0,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,1,2,3,2,2,8,1.075459269
EPOK45GRJTDF7DK4B0,2.25857312357308,NA,2.25857312357308,2.25857312357308,NA,2.25857312357308,0.492484202911856,1,0,0.625,0.875,0.625,1,0,0.4,42,0,1. Metropolitan zone,0.181818181818182,1,Portugal,5,NA,3,3,2,3,8,1.168549865
